Timestamp: 20241007_185321
Mean magnitude: 1.0848979949951172, after 6.817031 seconds
Mean magnitude: 1.3533605337142944, after 7.099989 seconds
Mean magnitude: 0.8691975474357605, after 7.385744 seconds
Mean magnitude: 1.6831356287002563, after 7.668982 seconds
Mean magnitude: 0.7589691877365112, after 7.951606 seconds
Mean magnitude: 1.785266637802124, after 8.213005 seconds
Mean magnitude: 1.4352216720581055, after 8.470206 seconds
Mean magnitude: 1.1206715106964111, after 8.725739 seconds
Mean magnitude: 1.878232479095459, after 8.99316 seconds
Mean magnitude: 1.1493046283721924, after 9.255183 seconds
Mean magnitude: 1.2314335107803345, after 9.535591 seconds
Mean magnitude: 1.3723559379577637, after 9.833017 seconds
Mean magnitude: 3.1041982173919678, after 10.119526 seconds
Component attached gently, after 10.119526 seconds
Component disappeared: Mean magnitude: 3.1041982173919678
Component detached
Timestamp: 20241007_190013
Mean magnitude: 1.1250711679458618, after 0.815545 seconds
Mean magnitude: 1.614400029182434, after 1.133618 seconds
Mean magnitude: 1.2529915571212769, after 1.413507 seconds
Mean magnitude: 1.3786553144454956, after 1.671555 seconds
Mean magnitude: 1.132346272468567, after 1.929513 seconds
Mean magnitude: 1.3616211414337158, after 2.197868 seconds
Mean magnitude: 1.8667669296264648, after 2.465429 seconds
Mean magnitude: 1.3320327997207642, after 2.730741 seconds
Mean magnitude: 2.2081456184387207, after 2.991788 seconds
Mean magnitude: 1.104174017906189, after 3.261363 seconds
Mean magnitude: 1.0813606977462769, after 3.545541 seconds
Mean magnitude: 1.5701627731323242, after 3.805621 seconds
Mean magnitude: 1.7047046422958374, after 4.070922 seconds
Mean magnitude: 1.8917150497436523, after 4.351584 seconds
Mean magnitude: 1.279241919517517, after 4.63077 seconds
Mean magnitude: 1.2496737241744995, after 4.896258 seconds
Mean magnitude: 1.2157847881317139, after 5.16026 seconds
Mean magnitude: 1.1432706117630005, after 5.419171 seconds
Mean magnitude: 1.3714605569839478, after 5.697679 seconds
Mean magnitude: 1.1695456504821777, after 5.967155 seconds
Mean magnitude: 1.8912030458450317, after 6.229128 seconds
Mean magnitude: 1.32942533493042, after 6.492271 seconds
Mean magnitude: 1.5780372619628906, after 6.765781 seconds
Mean magnitude: 1.3098986148834229, after 7.033042 seconds
Mean magnitude: 1.679357647895813, after 7.301509 seconds
Mean magnitude: 1.2511696815490723, after 7.574236 seconds
Mean magnitude: 1.3143929243087769, after 7.856025 seconds
Mean magnitude: 1.2906736135482788, after 8.141851 seconds
Mean magnitude: 1.7866472005844116, after 8.419932 seconds
Mean magnitude: 1.2795172929763794, after 8.691584 seconds
Mean magnitude: 1.7243211269378662, after 8.963778 seconds
Mean magnitude: 2.195617914199829, after 9.240425 seconds
Mean magnitude: 0.9928117990493774, after 9.537205 seconds
Mean magnitude: 1.642677664756775, after 9.815229 seconds
Mean magnitude: 1.1373039484024048, after 10.098808 seconds
Mean magnitude: 2.7790544033050537, after 10.386454 seconds
Mean magnitude: 4.22236442565918, after 10.67505 seconds
Component attached gently, after 10.67505 seconds
Mean magnitude: 1.1562798023223877, after 10.935478 seconds
Mean magnitude: 1.1399589776992798, after 11.200333 seconds
Mean magnitude: 1.4096930027008057, after 11.46609 seconds
Mean magnitude: 1.7047770023345947, after 11.726857 seconds
Mean magnitude: 1.7594350576400757, after 11.993316 seconds
Mean magnitude: 1.5882976055145264, after 12.278264 seconds
Component disappeared: Mean magnitude: 1.5882976055145264
Mean magnitude: 1.6742039918899536, after 12.603339 seconds
Mean magnitude: 1.4880000352859497, after 12.863452 seconds
Mean magnitude: 1.5458823442459106, after 13.146765 seconds
Mean magnitude: 1.266391634941101, after 13.403342 seconds
Component disappeared: Mean magnitude: 1.266391634941101
Component disappeared: Mean magnitude: 1.266391634941101
Mean magnitude: 1.1892178058624268, after 13.73923 seconds
Mean magnitude: 1.2784204483032227, after 14.006254 seconds
Component disappeared: Mean magnitude: 1.2784204483032227
Component detached
Timestamp: 20241007_190118
Mean magnitude: 1.3604158163070679, after 0.75747 seconds
Mean magnitude: 1.0969486236572266, after 1.02602 seconds
Mean magnitude: 1.3473366498947144, after 1.28622 seconds
Mean magnitude: 1.141149640083313, after 1.548642 seconds
Mean magnitude: 1.252636194229126, after 1.813946 seconds
Mean magnitude: 1.4660929441452026, after 2.088314 seconds
Mean magnitude: 2.0033650398254395, after 2.360804 seconds
Mean magnitude: 1.4857059717178345, after 2.622315 seconds
Mean magnitude: 1.1534258127212524, after 2.90367 seconds
Mean magnitude: 1.1209933757781982, after 3.191101 seconds
Mean magnitude: 1.4171345233917236, after 3.46277 seconds
Mean magnitude: 1.2689634561538696, after 3.747224 seconds
Mean magnitude: 1.7299638986587524, after 4.029296 seconds
Mean magnitude: 2.1257526874542236, after 4.319089 seconds
Mean magnitude: 1.7585058212280273, after 4.599394 seconds
Mean magnitude: 1.1308534145355225, after 4.866801 seconds
Mean magnitude: 1.463551640510559, after 5.14852 seconds
Mean magnitude: 1.5907448530197144, after 5.432499 seconds
Mean magnitude: 1.2875531911849976, after 5.713974 seconds
Mean magnitude: 1.5185481309890747, after 5.998043 seconds
Mean magnitude: 1.3374338150024414, after 6.279361 seconds
Mean magnitude: 1.0345122814178467, after 6.561489 seconds
Mean magnitude: 1.5463570356369019, after 6.83731 seconds
Mean magnitude: 1.4629215002059937, after 7.121152 seconds
Mean magnitude: 1.1090999841690063, after 7.381696 seconds
Mean magnitude: 1.1605983972549438, after 7.635876 seconds
Mean magnitude: 1.2705453634262085, after 7.891825 seconds
Mean magnitude: 1.1423792839050293, after 8.156385 seconds
Mean magnitude: 1.3171601295471191, after 8.414165 seconds
Mean magnitude: 1.2245409488677979, after 8.67858 seconds
Mean magnitude: 1.2504689693450928, after 8.953794 seconds
Mean magnitude: 1.321410059928894, after 9.232127 seconds
Mean magnitude: 1.580547571182251, after 9.501678 seconds
Mean magnitude: 1.4162243604660034, after 9.758683 seconds
Mean magnitude: 1.1987078189849854, after 10.02132 seconds
Mean magnitude: 1.4669132232666016, after 10.276867 seconds
Mean magnitude: 2.831650972366333, after 10.54926 seconds
Mean magnitude: 2.124680280685425, after 10.831194 seconds
Mean magnitude: 1.49168860912323, after 11.113973 seconds
Mean magnitude: 1.1814665794372559, after 11.397943 seconds
Mean magnitude: 1.6158688068389893, after 11.650583 seconds
Mean magnitude: 1.7242851257324219, after 11.935421 seconds
Mean magnitude: 1.194156527519226, after 12.223157 seconds
Mean magnitude: 0.9389450550079346, after 12.502621 seconds
Mean magnitude: 1.2708812952041626, after 12.78177 seconds
Mean magnitude: 2.397477626800537, after 13.064791 seconds
Mean magnitude: 1.3749881982803345, after 13.350217 seconds
Mean magnitude: 1.1513365507125854, after 13.634935 seconds
Mean magnitude: 1.1402229070663452, after 13.921759 seconds
Component disappeared: Mean magnitude: 1.1402229070663452
Component detached
Timestamp: 20241007_190203
Mean magnitude: 1.177677035331726, after 0.717045 seconds
Mean magnitude: 1.6251146793365479, after 0.978817 seconds
Mean magnitude: 1.6303013563156128, after 1.266778 seconds
Mean magnitude: 1.2730931043624878, after 1.552844 seconds
Mean magnitude: 1.197243094444275, after 1.838442 seconds
Mean magnitude: 1.4851564168930054, after 2.115878 seconds
Mean magnitude: 1.1197232007980347, after 2.402401 seconds
Mean magnitude: 1.3908636569976807, after 2.689109 seconds
Mean magnitude: 1.3125689029693604, after 2.97239 seconds
Mean magnitude: 1.1007437705993652, after 3.257157 seconds
Mean magnitude: 1.5532991886138916, after 3.540303 seconds
Mean magnitude: 1.2856124639511108, after 3.822482 seconds
Mean magnitude: 2.390467643737793, after 4.127574 seconds
Mean magnitude: 1.8908082246780396, after 4.440432 seconds
Mean magnitude: 1.1722428798675537, after 4.737792 seconds
Mean magnitude: 1.2451282739639282, after 5.011555 seconds
Mean magnitude: 1.2018295526504517, after 5.297733 seconds
Mean magnitude: 1.3051356077194214, after 5.571955 seconds
Mean magnitude: 1.6283960342407227, after 5.845869 seconds
Mean magnitude: 1.1909008026123047, after 6.109631 seconds
Mean magnitude: 1.874776005744934, after 6.373161 seconds
Mean magnitude: 0.9829683303833008, after 6.660795 seconds
Mean magnitude: 1.207285761833191, after 6.95309 seconds
Mean magnitude: 1.107324481010437, after 7.209765 seconds
Mean magnitude: 1.2936317920684814, after 7.479147 seconds
Mean magnitude: 1.6799941062927246, after 7.742993 seconds
Mean magnitude: 1.2274748086929321, after 8.006627 seconds
Mean magnitude: 1.5415595769882202, after 8.280581 seconds
Mean magnitude: 1.1561309099197388, after 8.559812 seconds
Mean magnitude: 1.12930428981781, after 8.826539 seconds
Mean magnitude: 1.2256999015808105, after 9.093096 seconds
Mean magnitude: 1.2473106384277344, after 9.367067 seconds
Mean magnitude: 1.3076645135879517, after 9.633769 seconds
Mean magnitude: 1.2580660581588745, after 9.923535 seconds
Mean magnitude: 2.5133490562438965, after 10.210056 seconds
Mean magnitude: 4.77793025970459, after 10.497863 seconds
Component attached gently, after 10.497863 seconds
Mean magnitude: 3.9714136123657227, after 10.78243 seconds
Component attached gently, after 10.78243 seconds
Mean magnitude: 1.2379889488220215, after 11.066204 seconds
Mean magnitude: 1.061854600906372, after 11.353428 seconds
