Timestamp: 20241007_192119
Mean magnitude: 1.0512001514434814, after 9.284185 seconds
Mean magnitude: 1.0245747566223145, after 9.499295 seconds
Mean magnitude: 1.7594283819198608, after 9.708743 seconds
Mean magnitude: 1.251415491104126, after 9.90751 seconds
Mean magnitude: 1.5253078937530518, after 10.119459 seconds
Mean magnitude: 3.577908515930176, after 10.332347 seconds
Component attached gently, after 10.332347 seconds
Mean magnitude: 2.1559956073760986, after 10.542537 seconds
Mean magnitude: 1.917860746383667, after 10.740292 seconds
Mean magnitude: 1.0369385480880737, after 10.942367 seconds
Mean magnitude: 1.2536460161209106, after 11.150303 seconds
Mean magnitude: 3.5960049629211426, after 11.352744 seconds
Component attached gently, after 11.352744 seconds
Mean magnitude: 1.2598577737808228, after 11.561897 seconds
Mean magnitude: 1.1848573684692383, after 11.772079 seconds
Mean magnitude: 1.1893210411071777, after 11.972718 seconds
Mean magnitude: 1.17886483669281, after 12.1787 seconds
Mean magnitude: 1.2847520112991333, after 12.381581 seconds
Mean magnitude: 1.113725185394287, after 12.589242 seconds
Mean magnitude: 1.3471970558166504, after 12.787787 seconds
Mean magnitude: 1.0610600709915161, after 12.984664 seconds
Mean magnitude: 1.279860019683838, after 13.182969 seconds
Mean magnitude: 1.206397294998169, after 13.389767 seconds
Mean magnitude: 1.6216726303100586, after 13.590208 seconds
Mean magnitude: 1.0343234539031982, after 13.789687 seconds
Mean magnitude: 1.541290044784546, after 14.001042 seconds
Mean magnitude: 1.3662109375, after 14.196563 seconds
Component disappeared: Mean magnitude: 1.3662109375
Component detached
Timestamp: 20241007_192340
Mean magnitude: 1.5257474184036255, after 0.637219 seconds
Mean magnitude: 1.1961477994918823, after 0.859235 seconds
Mean magnitude: 1.7806580066680908, after 1.064252 seconds
Mean magnitude: 1.3632006645202637, after 1.272971 seconds
Mean magnitude: 1.4962536096572876, after 1.485206 seconds
Mean magnitude: 1.2760869264602661, after 1.685997 seconds
Mean magnitude: 1.5842292308807373, after 1.896045 seconds
Mean magnitude: 1.1738834381103516, after 2.107871 seconds
Mean magnitude: 1.1066042184829712, after 2.323947 seconds
Mean magnitude: 1.3492350578308105, after 2.536245 seconds
Mean magnitude: 1.8219127655029297, after 2.748811 seconds
Mean magnitude: 1.5263360738754272, after 2.9583 seconds
Mean magnitude: 1.251173734664917, after 3.154751 seconds
Mean magnitude: 1.6876250505447388, after 3.35121 seconds
Mean magnitude: 1.542236566543579, after 3.547301 seconds
Mean magnitude: 1.3948497772216797, after 3.743544 seconds
Mean magnitude: 1.517871618270874, after 3.94067 seconds
Mean magnitude: 1.1183786392211914, after 4.138158 seconds
Mean magnitude: 1.268904685974121, after 4.334999 seconds
Mean magnitude: 1.5895578861236572, after 4.531101 seconds
Mean magnitude: 1.3057754039764404, after 4.727631 seconds
Mean magnitude: 1.5920029878616333, after 4.926821 seconds
Mean magnitude: 1.8409630060195923, after 5.134148 seconds
Mean magnitude: 1.2173811197280884, after 5.332948 seconds
Mean magnitude: 1.3465697765350342, after 5.532829 seconds
Mean magnitude: 1.3957905769348145, after 5.742668 seconds
Mean magnitude: 1.1606594324111938, after 5.943046 seconds
Mean magnitude: 1.747511386871338, after 6.15214 seconds
Mean magnitude: 2.2357096672058105, after 6.349294 seconds
Mean magnitude: 1.4672529697418213, after 6.547984 seconds
Mean magnitude: 1.5912550687789917, after 6.760749 seconds
Mean magnitude: 1.1457347869873047, after 6.971649 seconds
Mean magnitude: 1.1918545961380005, after 7.16805 seconds
Mean magnitude: 1.9282907247543335, after 7.367663 seconds
Mean magnitude: 1.4309660196304321, after 7.576919 seconds
Mean magnitude: 1.3249621391296387, after 7.776873 seconds
Mean magnitude: 1.4837095737457275, after 7.988419 seconds
Mean magnitude: 1.219175100326538, after 8.197851 seconds
Mean magnitude: 1.3952491283416748, after 8.398839 seconds
Mean magnitude: 1.843482494354248, after 8.61074 seconds
Mean magnitude: 1.2995768785476685, after 8.822459 seconds
Mean magnitude: 1.3946988582611084, after 9.017378 seconds
Mean magnitude: 1.7002657651901245, after 9.215474 seconds
Mean magnitude: 1.3972631692886353, after 9.412238 seconds
Mean magnitude: 1.4064832925796509, after 9.609938 seconds
Mean magnitude: 1.1414841413497925, after 9.805029 seconds
Mean magnitude: 2.7774581909179688, after 10.001161 seconds
Mean magnitude: 2.7710602283477783, after 10.198167 seconds
Mean magnitude: 2.9154272079467773, after 10.395589 seconds
Mean magnitude: 2.184138059616089, after 10.592901 seconds
Mean magnitude: 1.4902219772338867, after 10.806622 seconds
Mean magnitude: 1.2951594591140747, after 11.018265 seconds
Mean magnitude: 1.4175506830215454, after 11.217144 seconds
Mean magnitude: 1.0176795721054077, after 11.424898 seconds
Mean magnitude: 1.1774466037750244, after 11.623154 seconds
Mean magnitude: 1.421034336090088, after 11.820763 seconds
Mean magnitude: 1.4259954690933228, after 12.020247 seconds
Mean magnitude: 1.1602201461791992, after 12.231331 seconds
Mean magnitude: 1.593260407447815, after 12.441893 seconds
Mean magnitude: 1.3421730995178223, after 12.640477 seconds
Mean magnitude: 1.850155234336853, after 12.853958 seconds
Mean magnitude: 1.0102455615997314, after 13.070001 seconds
Mean magnitude: 1.0958852767944336, after 13.282515 seconds
Mean magnitude: 1.1159212589263916, after 13.495386 seconds
Mean magnitude: 2.041987657546997, after 13.708188 seconds
Mean magnitude: 1.1941369771957397, after 13.921408 seconds
Mean magnitude: 1.5934548377990723, after 14.136504 seconds
Component disappeared: Mean magnitude: 1.5934548377990723
Component detached
Timestamp: 20241007_192536
Mean magnitude: 1.381313443183899, after 0.624574 seconds
Mean magnitude: 1.6212400197982788, after 0.842827 seconds
Mean magnitude: 2.050917387008667, after 1.045278 seconds
Mean magnitude: 1.1952608823776245, after 1.254384 seconds
Mean magnitude: 0.8244091868400574, after 1.457749 seconds
Mean magnitude: 1.3787726163864136, after 1.665792 seconds
Mean magnitude: 1.3978506326675415, after 1.879088 seconds
Mean magnitude: 1.2519078254699707, after 2.090185 seconds
